DirectoryID,SUBID,awk_sim_LOO
OA_10,10,0.7960168488551235
OA_116,116,1.2358105146414124
OA_117,117,0.442026859052408
OA_118_w2,118,0.9905678185463331
OA_127_w2,127,0.724468986967068
OA_143,143,0.6940135887972431
OA_155_w2,155,0.8718446038902559
OA_166,166,0.9632565257845461
OA_167,167,1.0176332347304469
OA_174,174,1.032816420340205
OA_180,180,0.921678514487132
OA_193,193,0.9848652796873006
OA_27,27,0.22655012824380275
OA_281,281,0.9512911466938387
OA_282,282,0.8899794957951421
OA_28_w2,28,0.7533207881283385
OA_34_w2,34,0.47915941025795117
OA_40,40,0.7230585098146564
OA_42_w2,42,0.6883999838710925
OA_56,56,0.9173209179916884
OA_64_w2,64,0.3515701913781526
OA_67,67,0.7401166893203643
OA_69,69,0.7308115730758808
OA_71_w2,71,0.06401779377255849
OA_74_w2,74,0.680692769298108
OA_78_w2,78,0.47440940489592903
OA_79,79,1.0181329023700616
OA_83_w2,83,1.2736529861730161
OA_88,88,1.113669282391447
OA_89_w2,89,0.6503624661033957
OA_90_w2,90,0.7379388126780648
OA_91,91,0.5173049834615663
OA_94,94,0.843288519734565
OA_02_w2,2,0.9640928289497008
OA_203,203,0.3521509020920225
OA_209,209,0.24651997496545455
OA_217,217,1.25143337541965
OA_220,220,0.5352116717168756
OA_225,225,0.9718057062992923
OA_227_no2,227,1.0158271522901186
OA_239,239,0.7922095311638478
OA_248,248,0.7783700092185786
OA_249,249,1.126247514032157
OA_250,250,0.755289164562103
OA_251,251,0.6490083035428027
OA_254,254,0.7789291843414267
OA_256,256,0.21670676180793133
OA_257,257,0.8135282629533369
OA_258,258,0.6728769601275214
OA_265,265,1.1228887669570873
OA_267,267,0.7691589252273581
OA_268,268,0.6838019561682682
OA_271,271,0.818307067078449
OA_272,272,0.8308180502271821
OA_274,274,0.5074712638743857
OA_275,275,1.0046677699752773
OA_276,276,0.7402818573295598
OA_279_w2,279,0.9914437762680843
OA_280,280,0.16989368628657314
OA_283,283,0.9475830686206141
OA_290,290,0.5851025292039991
OA_292,292,0.6823657783116596
OA_293,293,1.087142920220289
OA_296,296,0.4976890663171765
OA_299,299,0.6319021602927322
OA_300,300,0.7444638557705869
OA_302,302,0.44695378089594945
OA_304,304,1.1505146863644231
OA_305,305,1.0328021111499017
OA_307,307,0.6311689200169438
OA_315,315,0.9069066717852966
OA_320,320,0.6173554926006222
OA_323,323,0.4735708770595813
OA_326,326,0.824189534753167
OA_327,327,0.701329517093793
OA_331,331,-0.06962569533885271
OA_337,337,0.5823630627753801
OA_339,339,1.0275130638657535
OA_341,341,0.6058884078323135
OA_342,342,0.24878508505468214
OA_345,345,1.1722735848947274
OA_347,347,1.1827000175869993
OA_353,353,0.827346312047071
OA_81_w2,81,0.5959671745980117
YA_1191,1191,0.8660960725606607
YA_1192,1192,1.067144354784029
YA_1194,1194,0.8541864315967994
YA_1195,1195,0.7650446462004118
YA_1197,1197,0.6946062319982503
YA_1201,1201,0.9559674809547178
YA_1202,1202,1.2681475759007876
YA_1204,1204,0.7528580884547242
YA_1208,1208,0.8369817912129033
YA_1209,1209,1.017485559360993
YA_1210,1210,1.4582957949229742
YA_1211,1211,0.9508722316221334
YA_1215,1215,1.0849528261246786
YA_1216,1216,1.1010245560909977
YA_1219,1219,1.1576758333264519
YA_1221,1221,0.8866092481803669
YA_1222,1222,0.12374652177378229
YA_1228,1228,0.3927010887843773
YA_1229,1229,0.5638270951896274
YA_1230,1230,0.9496178824375756
YA_1302,1302,0.7264466077134467
YA_1305,1305,0.8623500305304226
YA_1306,1306,1.1927275606017473
YA_1308,1308,0.9094186780114283
YA_1309,1309,0.9259389420516954
YA_1310,1310,0.7560388971591503
YA_1311,1311,0.5933486615098594
YA_1313,1313,1.0833869413904385
YA_1315,1315,0.9036361920946658
YA_1316,1316,1.0907541252291382
YA_1317,1317,0.7495147549234348
YA_1318,1318,1.247855755434359
YA_1319,1319,0.7067298602635094
YA_1321,1321,0.8248566637749856
YA_1322,1322,1.0243673823317436
YA_1323,1323,1.1815640822173772
YA_1325,1325,1.2255311089229366
YA_1327,1327,0.8839538594696459
YA_1328,1328,0.9197862316825375
YA_1330,1330,1.3530198638085806
YA_1331,1331,0.7909748308383266
YA_1332,1332,0.7948378866049138
YA_1333,1333,0.7544709315424089
YA_1334,1334,0.6621647325516661
YA_1335,1335,1.251898291491009
YA_1336,1336,0.9029980873074233
YA_1338,1338,0.7363428482657035
YA_1339,1339,0.9645614310460705
YA_1346,1346,0.7547731659911852
YA_1347,1347,1.4296126630286328
YA_1349,1349,1.090922771312783
YA_1504,1504,1.5376164987307002
YA_1654,1654,1.118749689742659
YA_1657,1657,0.8759397828377518
YA_1658,1658,0.9301000878257888
YA_1659,1659,1.0606512168483664
YA_1660,1660,0.7629534734836854
YA_1661,1661,0.9939304537774948
YA_1662,1662,1.042425253916566
YA_1665,1665,0.841011489181865
YA_1666,1666,1.2800174651510763
YA_1802,1802,0.849007561380916
YA_1803,1803,0.821507976827819
YA_1804,1804,1.4550548414845672
YA_1805,1805,1.0026264169694317
YA_1806,1806,1.1336385585415563
YA_1807,1807,0.6464469287475234
YA_1808,1808,1.0861795537693968
YA_1810,1810,0.8930608664952228
YA_1811,1811,0.9420123810838619
YA_1812,1812,0.652047343955636
YA_1813,1813,1.223760798274017
YA_1814,1814,0.9779299579792161
YA_1815,1815,1.4293353405819234
YA_1816,1816,1.2140438518478658
YA_1820,1820,0.6285723285758306
YA_1821,1821,0.9685750906607815
YA_1822,1822,0.9786974194575362
YA_1823,1823,0.6134884229112728
YA_1825,1825,0.723551087318682
YA_1826,1826,1.150635052378421
YA_1828,1828,1.018005199719463
YA_1829,1829,0.6777371794838692
YA_1830,1830,0.8530360291295314
YA_1832,1832,0.8669806907813313
YA_1840,1840,1.1018659149501169
YA_1842,1842,1.2102670669491538
YA_1843,1843,0.6888942942955947
YA_1844,1844,1.3374160636015084
YA_1847,1847,0.9668713027522148
YA_1848,1848,1.029458197981281
YA_1854,1854,0.9571368553306042
YA_1855,1855,0.9886307340123807
YA_1857,1857,1.1074524610799465
YA_1858,1858,1.05538782284159
YA_1860,1860,1.0768014636567345
YA_1861,1861,1.1348595415448022
YA_1862,1862,0.934610533392014
YA_1863,1863,1.3415752755890937
YA_1865,1865,1.1763870630708537
